Station Name2,Count - Station Name2
103rd St /  8 Avenue,1
103rd St /  Broadway-7th Ave,5
103rd St /  Flushing,4
103rd St /  Lexington,2
104th St-102nd St /  Broadway Jamaica,2
104th St-Oxford Av /  Liberty,2
110th St /  Lexington,4
110th St-Central Park North /  Lenox,2
111th St /  Broadway Jamaica,2
111th St /  Flushing,3
111th St-Greenwood Av /  Liberty,4
116th St /  8 Avenue,4
116th St /  Lenox,4
116th St /  Lexington,4
116th St-Columbia University /  Broadway-7th Ave,5
121st St /  Broadway Jamaica,4
125th St /  8 Avenue,6
125th St /  Broadway-7th Ave,4
125th St /  Lenox,4
125th St /  Lexington,5
135th St /  8 Avenue,6
135th St /  Lenox,4
137th St-City College /  Broadway-7th Ave,4
138th St /  Jerome,3
138th St-3rd Ave /  Pelham,7
145th St /  8 Avenue,6
145th St /  Broadway-7th Ave,3
145th St /  Lenox,4
149th St-3rd Av /  White Plains Road,8
149th St-Grand Concourse /  Jerome,4
14th St /  6 Avenue,10
14th St /  8 Avenue,8
14th St /  Broadway-7th Ave,8
14th St-Union Square /  Lexington,6
155th St /  8 Avenue,6
155th St /  Concourse,1
157th St /  Broadway-7th Ave,4
163rd St - Amsterdam Av /  8 Avenue,3
167th St /  Concourse,6
167th St /  Jerome,4
168th St - Washington Heights /  8 Avenue,4
168th St /  Broadway-7th Ave,3
169th St /  Queens Boulevard,8
170th St /  Concourse,5
170th St /  Jerome,3
174-175th Sts /  Concourse,4
174th St /  White Plains Road,4
175th St /  8 Avenue,7
176th St /  Jerome,2
181st St /  8 Avenue,5
181st St /  Broadway-7th Ave,2
182nd-183rd Sts /  Concourse,4
183rd St /  Jerome,3
18th Av /  Culver,4
18th Av /  Sea Beach,2
18th Av /  West End,3
18th St /  Broadway-7th Ave,6
190th St /  8 Avenue,2
191st St /  Broadway-7th Ave,2
1st Av /  Canarsie,4
207th St /  Broadway-7th Ave,4
20th Av /  Sea Beach,1
20th Av /  West End,4
215th St /  Broadway-7th Ave,4
219th St /  White Plains Road,2
21st St /  63rd Street,5
21st St /  Crosstown,3
225th St /  White Plains Road,3
231st St /  Broadway-7th Ave,4
233rd St /  White Plains Road,2
238th St /  Broadway-7th Ave,3
238th St-Nereid Av /  White Plains Road,2
23rd St /  6 Avenue,8
23rd St /  8 Avenue,11
23rd St /  Broadway,8
23rd St /  Broadway-7th Ave,4
23rd St /  Lexington,9
23rd St-Ely Av /  Queens Boulevard,4
25th Av /  West End,4
25th St /  4 Avenue,2
28th St /  Broadway,4
28th St /  Broadway-7th Ave,6
28th St /  Lexington,7
2nd Av /  6 Avenue,4
30 Av-Grand Av /  Astoria,4
33rd St /  Lexington,9
34 St Hudson Yards /  Flushing,2
34th St /  6 Avenue,10
34th St /  8 Avenue,16
34th St /  Broadway,4
34th St /  Broadway-7th Ave,11
36 Av-Washington Av /  Astoria,3
36th St /  4 Avenue,3
36th St /  Queens Boulevard,5
39 Av-Beebe Av /  Astoria,2
3rd Av /  Canarsie,4
42nd St /  6 Avenue,9
42nd St /  8 Avenue,9
45 Rd-Court House Sq /  Flushing,3
45th St /  4 Avenue,4
46th St /  Queens Boulevard,4
47-50th Sts Rockefeller Center /  6 Avenue,17
