,0,1
0,DEKALB AV,158766.0
1,MIDDLETOWN RD,8663.0
2,46 ST BLISS ST,72640.0
3,KINGSTON-THROOP,32864.0
4,3 AV,31905.0
5,WESTCHESTER SQ,25687.0
6,ELMHURST AV,76218.0
7,CHAUNCEY ST,20368.0
8,CORTLANDT ST,58987.0
9,GRD CNTRL-42 ST,705206.0
10,MYRTLE AV,63109.0
11,JAMAICA VAN WK,26843.0
12,CYPRESS AV,21802.0
13,9 AV,32556.0
14,14 ST-UNION SQ,545184.0
15,UTICA AV,85605.0
16,INWOOD-207 ST,52702.0
17,BAY PKWY,114784.0
18,BROADWAY,95385.0
19,CLASSON AV,26754.0
20,BEACH 60 ST,12718.0
21,OCEAN PKWY,15353.0
22,CLINTON-WASH AV,53675.0
23,161/YANKEE STAD,132461.0
24,LIBERTY AV,14643.0
25,BURKE AV,18356.0
26,BEACH 105 ST,1121.0
27,CHURCH AV,199613.0
28,ROCKAWAY BLVD,38035.0
29,JAMAICA 179 ST,115178.0
30,PATH WTC 2,3529.0
31,RIT-MANHATTAN,32676.0
32,JAMAICA CENTER,194140.0
33,75 ST-ELDERTS,18386.0
34,CENTRAL AV,19919.0
35,157 ST,62642.0
36,CHRISTOPHER ST,73718.0
37,FOREST AVE,23262.0
38,ELDER AV,34962.0
39,PELHAM BAY PARK,31022.0
40,EASTCHSTER/DYRE,20048.0
41,HOUSTON ST,76063.0
42,CLARK ST,32555.0
43,ASTORIA BLVD,68539.0
44,JUNIUS ST,11481.0
45,TOMPKINSVILLE,4164.0
46,82 ST-JACKSON H,82386.0
47,CANARSIE-ROCKAW,65121.0
48,FREEMAN ST,25209.0
49,LEXINGTON AV/53,198116.0
50,BEACH 67 ST,12709.0
51,EXCHANGE PLACE,-55102.0
52,E 143/ST MARY'S,5015.0
53,B'WAY-LAFAYETTE,126340.0
54,69 ST,25043.0
55,PRESIDENT ST,18892.0
56,SUTTER AV-RUTLD,41356.0
57,42 ST-PORT AUTH,428920.0
58,JACKSON AV,28159.0
59,PARKCHESTER,100394.0
60,THIRTY ST,47773.0
61,AVENUE P,15070.0
62,BEDFORD PK BLVD,63386.0
63,MONTROSE AV,37571.0
64,TIMES SQ-42 ST,442009.0
65,NEWARK HM HE,14679.0
66,111 ST,92476.0
67,182-183 STS,27307.0
68,52 ST,36157.0
69,CANAL ST,386827.0
70,GRAHAM AV,55113.0
71,SHEPHERD AV,17212.0
72,PELHAM PKWY,65282.0
73,ROOSEVELT ISLND,36662.0
74,WALL ST,253565.0
75,4 AV-9 ST,19210.0
76,137 ST CITY COL,72130.0
77,CHAMBERS ST,326420.0
78,BLEECKER ST,71474.0
79,238 ST,23726.0
80,ZEREGA AV,10799.0
81,CARROLL ST,57203.0
82,CONEY IS-STILLW,86341.0
83,FRANKLIN ST,31573.0
84,BERGEN ST,80965.0
85,GRAND-NEWTOWN,77686.0
86,ASTORIA DITMARS,95725.0
87,81 ST-MUSEUM,86192.0
88,AQUEDUCT RACETR,9199.0
89,LACKAWANNA,37242.0
90,JFK JAMAICA CT1,45312.0
91,NEWKIRK PLAZA,58997.0
92,67 AV,46231.0
93,225 ST,22450.0
94,CYPRESS HILLS,7428.0
95,5 AV/53 ST,140920.0
96,59 ST COLUMBUS,350131.0
97,HOYT ST,38437.0
98,WOODLAWN,39942.0
99,THIRTY THIRD ST,121241.0
100,116 ST,191504.0
101,33 ST,163798.0
102,50 ST,228438.0
103,BAYCHESTER AV,16402.0
104,18 ST,41694.0
105,SUTTER AV,23798.0
106,77 ST,222995.0
107,34 ST-HERALD SQ,579213.0
108,121 ST,12798.0
109,HEWES ST,14139.0
110,80 ST,21277.0
111,HOWARD BCH JFK,25922.0
112,VAN SICLEN AVE,16993.0
113,ATL AV-BARCLAY,206217.0
114,NEW UTRECHT AV,28991.0
115,FLATBUSH AV-B.C,88415.0
116,21 ST-QNSBRIDGE,49097.0
117,163 ST-AMSTERDM,24462.0
118,NEWARK C,24255.0
119,96 ST,400599.0
120,COURT SQ,66762.0
121,VERNON-JACKSON,69242.0
122,PROSPECT AV,69229.0
123,ALLERTON AV,29296.0
124,EAST BROADWAY,77163.0
125,WOODHAVEN BLVD,147771.0
126,CATHEDRAL PKWY,112904.0
127,9TH STREET,22260.0
128,V.CORTLANDT PK,40498.0
129,MYRTLE-WYCKOFF,108087.0
130,34 ST-PENN STA,888571.0
131,NORWOOD AV,18663.0
132,176 ST,15789.0
133,GATES AV,35145.0
134,RECTOR ST,84201.0
135,QUEENS PLAZA,52450.0
136,BEACH 36 ST,5100.0
137,NASSAU ST,46074.0
138,BOWLING GREEN,164840.0
139,CITY / BUS,91707.0
140,MOSHOLU PKWY,46330.0
141,BOWERY,16420.0
142,79 ST,124744.0
143,23 ST,551588.0
144,BURNSIDE AV,55036.0
145,40 ST LOWERY ST,50914.0
146,39 AV,17856.0
147,FT HAMILTON PKY,60942.0
148,TREMONT AV,54120.0
149,NEVINS ST,51871.0
150,GRAND ARMY PLAZ,41373.0
151,BAY RIDGE AV,77350.0
152,104 ST,17705.0
153,51 ST,110080.0
154,BROADWAY JCT,51319.0
155,COURT SQ-23 ST,45152.0
156,BEACH 44 ST,3383.0
157,57 ST-7 AV,74293.0
158,FRESH POND RD,32855.0
159,7 AV,1738240114.0
160,SPRING ST,118600.0
161,W 4 ST-WASH SQ,218022.0
162,KINGSBRIDGE RD,89764.0
163,FORDHAM RD,126864.0
164,FULTON ST,431896.0
165,ST LAWRENCE AV,21918.0
166,103 ST,156566.0
167,28 ST,271145.0
168,PROSPECT PARK,64195.0
169,183 ST,33298.0
170,JKSN HT-ROOSVLT,277243.0
171,AVENUE M,23607.0
172,SENECA AVE,14580.0
173,68ST-HUNTER CO,158432.0
174,85 ST-FOREST PK,21260.0
175,170 ST,86822.0
176,LORIMER ST,60176.0
177,SUTPHIN BLVD,25571.0
178,HIGH ST,46824.0
179,LONGWOOD AV,18049.0
180,74 ST-BROADWAY,16726.0
181,53 ST,40552.0
182,45 ST,20494.0
183,HUNTERS PT AV,32301.0
184,LIVONIA AV,17558.0
185,30 AV,81997.0
186,WHITLOCK AV,8955.0
187,PRINCE ST,84198.0
188,LAFAYETTE AV,25904.0
189,INTERVALE AV,15964.0
190,E 180 ST,44332.0
191,145 ST,199545.0
192,BROAD CHANNEL,1605.0
193,138/GRAND CONC,17537.0
194,BROOK AV,32411.0
195,AVENUE J,27118.0
196,25 AV,32940.0
197,UNION ST,32658.0
198,BRONX PARK EAST,14253.0
199,HARRISON,42176.0
200,15 ST-PROSPECT,-1860370.0
201,88 ST,15548.0
202,191 ST,42637.0
203,190 ST,26482.0
204,BRIARWOOD,27936.0
205,103 ST-CORONA,111654.0
206,168 ST,132306.0
207,65 ST,23152.0
208,AVENUE X,13203.0
209,EUCLID AV,41128.0
210,NEW LOTS AV,28602.0
211,BROOKLYN BRIDGE,92060.0
212,BEDFORD AV,137124.0
213,FLUSHING-MAIN,319165.0
214,AVENUE U,62707.0
215,59 ST,398976.0
216,CRESCENT ST,26740.0
217,NORTHERN BLVD,42561.0
218,25 ST,19694.0
219,36 AV,38182.0
220,WHITEHALL S-FRY,92619.0
221,CENTRAL PK N110,51822.0
222,NEPTUNE AV,7858.0
223,ROCKAWAY PARK B,3866.0
224,KINGSTON AV,23073.0
225,WEST FARMS SQ,43295.0
226,14 ST,277302.0
227,AVENUE N,15914.0
228,STEINWAY ST,78490.0
229,SIMPSON ST,49701.0
230,18 AV,70222.0
231,MORGAN AV,42382.0
232,42 ST-BRYANT PK,191155.0
233,86 ST,572953.0
234,BOROUGH HALL,190092.0
235,149/GRAND CONC,60490.0
236,61 ST WOODSIDE,93659.0
237,JEFFERSON ST,42388.0
238,FLUSHING AV,63598.0
239,TWENTY THIRD ST,47536.0
240,BEACH 25 ST,9009.0
241,PATH WTC,2066337.0
242,JOURNAL SQUARE,114102.0
243,HARLEM 148 ST,20122.0
244,METROPOLITAN AV,62724.0
245,66 ST-LINCOLN,116073.0
246,CITY HALL,32041.0
247,GROVE STREET,6484.0
248,DITMAS AV,67122910.0
249,ALABAMA AV,13233.0
250,KEW GARDENS,138442.0
251,OZONE PK LEFFRT,40431.0
252,1 AV,111579.0
253,110 ST,72395.0
254,BEACH 98 ST,2135.0
255,BEVERLY RD,23194.0
256,JUNCTION BLVD,118040.0
257,MARBLE HILL-225,29389.0
258,GUN HILL RD,62554.0
259,ST. GEORGE,67925.0
260,33 ST-RAWSON ST,40747.0
261,46 ST,51818.0
262,GRANT AV,36113.0
263,63 DR-REGO PARK,89895.0
264,NECK RD,22811.0
265,FOREST HILLS 71,145562.0
266,4AV-9 ST,49308.0
267,GREENPOINT AV,48994.0
268,49 ST,125470.0
269,EASTN PKWY-MUSM,36306.0
270,NEREID AV,19775.0
271,W 8 ST-AQUARIUM,16059.0
272,EAST 105 ST,20419.0
273,57 ST,77029.0
274,5 AV/59 ST,109061.0
275,MYRTLE-WILLOUGH,32702.0
276,174 ST,23617.0
277,8 AV,220362.0
278,KNICKERBOCKER,21631.0
279,WORLD TRADE CTR,81688.0
280,AVENUE H,12970.0
281,14TH STREET,49564.0
282,MT EDEN AV,29657.0
283,GRAND ST,159649.0
284,WINTHROP ST,35979.0
285,SHEEPSHEAD BAY,73194.0
286,BOTANIC GARDEN,7069.0
287,BEACH 90 ST,4289.0
288,MORISN AV/SNDVW,35556.0
289,34 ST-HUDSON YD,34442.0
290,BUHRE AV,15423.0
291,FRANKLIN AV,57920.0
292,CROWN HTS-UTICA,157041.0
293,PARKSIDE AV,30057.0
294,175 ST,72727.0
295,LEXINGTON AV/63,50707.0
296,BEVERLEY ROAD,15127.0
297,NEWARK HW BMEBE,22547.0
298,174-175 STS,29311.0
299,BUSHWICK AV,13503.0
300,233 ST,28843.0
301,STERLING ST,29867.0
302,135 ST,108545.0
303,KOSCIUSZKO ST,27199.0
304,75 AV,19840.0
305,BAY 50 ST,15682.0
306,20 AV,36590.0
307,DYCKMAN ST,76994.0
308,125 ST,275595.0
309,BEDFORD-NOSTRAN,45767.0
310,47-50 STS ROCK,279210.0
311,231 ST,50307.0
312,71 ST,36512.0
313,HALSEY ST,89568.0
314,ATLANTIC AV,7102.0
315,YORK ST,57013.0
316,6 AV,2727.0
317,169 ST,47470.0
318,55 ST,10506.0
319,207 ST,34453.0
320,2 AV,78213.0
321,PARK PLACE,29899.0
322,BRIGHTON BEACH,58580.0
323,CASTLE HILL AV,27504.0
324,DELANCEY/ESSEX,123644.0
325,MORRIS PARK,10792.0
326,21 ST,9794.0
