,0,1
0,PELHAM PKWY,75018.0
1,NORWOOD AV,22011.0
2,INTERVALE AV,20685.0
3,34 ST-HERALD SQ,589639.0
4,AQUEDUCT RACETR,9859.0
5,AVENUE H,19424.0
6,28 ST,280101.0
7,BURNSIDE AV,67809.0
8,77 ST,232531.0
9,BUSHWICK AV,15141.0
10,NEWARK HW BMEBE,22534.0
11,25 ST,20843.0
12,NEWKIRK AV,46113.0
13,CLEVELAND ST,21510.0
14,HOYT-SCHER,54925.0
15,ROCKAWAY PARK B,4027.0
16,KINGS HWY,149930.0
17,18 AV,73425.0
18,NECK RD,26311.0
19,82 ST-JACKSON H,89559.0
20,DEKALB AV,176644.0
21,FORDHAM RD,138944.0
22,SPRING ST,121811.0
23,NEW LOTS AV,40358.0
24,HOUSTON ST,79892.0
25,ASTORIA DITMARS,101800.0
26,THIRTY ST,49151.0
27,5 AVE,50971.0
28,CORTELYOU RD,39202.0
29,51 ST,-556867.0
30,UTICA AV,95740.0
31,9 AV,35536.0
32,MYRTLE-WYCKOFF,118783.0
33,BOWERY,16989.0
34,137 ST CITY COL,96376.0
35,190 ST,30906.0
36,53 ST,40813.0
37,BEACH 60 ST,14731.0
38,STERLING ST,33977.0
39,50 ST,-851507.0
40,GREENPOINT AV,51239.0
41,KINGSBRIDGE RD,108882.0
42,BERGEN ST,82225.0
43,PARKCHESTER,110814.0
44,MONTROSE AV,41129.0
45,170 ST,99716.0
46,NASSAU ST,49412.0
47,161/YANKEE STAD,135353.0
48,1 AV,123001.0
49,MORRIS PARK,12664.0
50,BRONX PARK EAST,17190.0
51,JOURNAL SQUARE,112482.0
52,AVENUE P,15076.0
53,NEWARK BM BW,68129.0
54,169 ST,53573.0
55,LIVONIA AV,20681.0
56,85 ST-FOREST PK,23787.0
57,BEACH 98 ST,3252.0
58,121 ST,14079.0
59,2 AV,84545.0
60,57 ST-7 AV,76707.0
61,HUNTERS PT AV,36759.0
62,GRAHAM AV,60323.0
63,CHAMBERS ST,401329.0
64,MARBLE HILL-225,29255.0
65,CLASSON AV,28762.0
66,36 ST,109366.0
67,JKSN HT-ROOSVLT,298816.0
68,B'WAY-LAFAYETTE,126105.0
69,GRAND ST,175788.0
70,BEACH 90 ST,5138.0
71,5 AV/59 ST,108460.0
72,72 ST,293709.0
73,LACKAWANNA,34510.0
74,PARSONS BLVD,40113.0
75,METS-WILLETS PT,26262.0
76,138/GRAND CONC,19558.0
77,BEDFORD AV,140936.0
78,15 ST-PROSPECT,36493.0
79,GRANT AV,39911.0
80,RIT-ROOSEVELT,27719.0
81,DELANCEY/ESSEX,144080.0
82,INWOOD-207 ST,70434.0
83,WESTCHESTER SQ,32501.0
84,3 AV 138 ST,-218364.0
85,CENTRAL PK N110,59657.0
86,207 ST,33497.0
87,BEACH 36 ST,5733.0
88,ELDER AV,39891.0
89,182-183 STS,30995.0
90,66 ST-LINCOLN,135625.0
91,57 ST,81158.0
92,BROOKLYN BRIDGE,97527.0
93,E 180 ST,49578.0
94,RECTOR ST,87181.0
95,52 ST,39422.0
96,SUTTER AV,27861.0
97,JEFFERSON ST,44259.0
98,34 ST-HUDSON YD,41611.0
99,ST. GEORGE,73876.0
100,LORIMER ST,66981.0
101,CASTLE HILL AV,33478.0
102,ROCKAWAY AV,76075.0
103,NEWARK HM HE,14072.0
104,86 ST,628086.0
105,63 DR-REGO PARK,94609.0
106,BEACH 105 ST,1670.0
107,DYCKMAN ST,83979.0
108,59 ST,426636.0
109,NORTHERN BLVD,43396.0
110,BLEECKER ST,75884.0
111,SUTPHIN BLVD,26560.0
112,ROCKAWAY BLVD,44270.0
113,46 ST,53351.0
114,CHURCH AV,235264.0
115,WEST FARMS SQ,46977.0
116,CYPRESS AV,24143.0
117,AVENUE X,13249.0
118,176 ST,37492.0
119,ORCHARD BEACH,0.0
120,233 ST,32928.0
121,155 ST,42059.0
122,225 ST,27455.0
123,3 AV-149 ST,133155.0
124,JACKSON AV,34617.0
125,14 ST-UNION SQ,579496.0
126,25 AV,39175.0
127,ST LAWRENCE AV,24722.0
128,BEACH 67 ST,14071.0
129,NEW UTRECHT AV,36089.0
130,ALLERTON AV,33008.0
131,BAY PKWY,129260.0
132,WAKEFIELD/241,30820.0
133,FOREST AVE,25235.0
134,SOUTH FERRY,74424.0
135,71 ST,37748.0
136,OZONE PK LEFFRT,45705.0
137,STEINWAY ST,79363.0
138,TREMONT AV,59590.0
139,LEXINGTON AV/53,-1401527.0
140,PAVONIA/NEWPORT,56483.0
141,FLATBUSH AV-B.C,101960.0
142,PARK PLACE,31550.0
143,9TH STREET,25682.0
144,BAY RIDGE AV,86452.0
145,14TH STREET,50108.0
146,DITMAS AV,18442.0
